;  
; XRS FM-1 Calibration File = xrs_fm1_responsivity_renormalize.dat
; Generated by xrs_responsivity_make_file.pro using a FLAT spectrum.
;  
; Integrated Resposivity (IntegR) is used to convert XRS signal 
;    in Amps to Watts/m^2 as follows: 
;            Irradiance_W_per_m2 = Signal_Amps / IntegR_Amps_m2_per_W
;    XRS A1 IntegR = 9.6150000e-06
;    XRS A2 IntegR = 5.0636203e-07
;    XRS B1 IntegR = 1.4690000e-05
;    XRS B2 IntegR = 7.7616903e-07
;  
; Aperture Area for the XRS channels are:
;    XRS A1 Area = 0.80946551 cm^2
;    XRS A2 Area = 0.040307721 cm^2
;    XRS B1 Area = 0.80946551 cm^2
;    XRS B2 Area = 0.040024905 cm^2
;  
; Data in this file are Responsivity (in Amp/Watt) 
;    as a function of wavelength (in Angstroms).
;  
FORMAT = (F7.3,4E12.3)
 172 lines : xrs_fm1_responsivity_renormalize.dat created on Thu Feb 20 10:02:03 2020
 5 columns : XRS FM-1 calibration: Wavelength (Ang), A1, A2, B1, B2 Responsivity in units of Amps/Watt
  2.537   1.715E-01   1.818E-01   2.519E-01   2.687E-01
  2.606   1.665E-01   1.764E-01   2.531E-01   2.701E-01
  2.676   1.609E-01   1.704E-01   2.539E-01   2.709E-01
  2.749   1.547E-01   1.637E-01   2.542E-01   2.712E-01
  2.823   1.479E-01   1.564E-01   2.541E-01   2.711E-01
  2.899   1.407E-01   1.486E-01   2.536E-01   2.706E-01
  2.978   1.330E-01   1.404E-01   2.527E-01   2.697E-01
  3.058   1.250E-01   1.318E-01   2.515E-01   2.684E-01
  3.141   1.168E-01   1.231E-01   2.501E-01   2.669E-01
  3.226   1.085E-01   1.142E-01   2.484E-01   2.651E-01
  3.313   1.001E-01   1.052E-01   2.465E-01   2.630E-01
  3.403   9.162E-02   9.619E-02   2.443E-01   2.607E-01
  3.495   8.322E-02   8.724E-02   2.419E-01   2.582E-01
  3.589   7.494E-02   7.844E-02   2.393E-01   2.555E-01
  3.686   6.685E-02   6.987E-02   2.365E-01   2.525E-01
  3.786   5.904E-02   6.160E-02   2.335E-01   2.493E-01
  3.889   5.158E-02   5.370E-02   2.303E-01   2.458E-01
  3.994   4.452E-02   4.626E-02   2.268E-01   2.421E-01
  4.102   3.793E-02   3.932E-02   2.230E-01   2.381E-01
  4.213   3.194E-02   3.303E-02   2.191E-01   2.339E-01
  4.327   2.653E-02   2.736E-02   2.149E-01   2.295E-01
  4.444   2.168E-02   2.229E-02   2.105E-01   2.248E-01
  4.564   1.741E-02   1.785E-02   2.057E-01   2.197E-01
